id,year,Company,Name,Exchange,Financial_Distress,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25
43,2010,TTF,G? Tr??ng Thành,HOSE,1,0.03,0.36,1.09,0.12,0.04,1.88,0.59,2.01,0.64,2.13,0.68,0,0,4.97,4.97,0.43,0.16,0.46,359.77,10.66,1905.49,0.86,6.6,7.51,2355
44,2011,TTF,G? Tr??ng Thành,HOSE,1,0.02,0.37,1.06,0.12,0.03,2.8,0.58,3.53,0.72,3.71,0.76,0,0,33.58,33.58,0.45,0.1,0.43,311.71,0,2208.69,0.73,7.67,8.5,283
45,2012,TTF,G? Tr??ng Thành,HOSE,1,0.01,0.25,1.1,0.23,0.05,2.68,0.56,3.36,0.7,3.64,0.76,0,0,91.42,91.42,0.3,0.12,0.29,313.02,0.86,2148.09,0.81,8.04,9.16,58
46,2013,TTF,G? Tr??ng Thành,HOSE,1,0.05,0.22,1.15,0.14,0.03,2.33,0.56,2.84,0.69,3.02,0.73,0,0,103.94,104.51,0.93,0.51,0.88,793.79,-3.38,2709.99,1.75,11.36,13.38,62
47,2014,TTF,G? Tr??ng Thành,HOSE,1,0.05,0.34,1.24,0.08,0.02,1.69,0.49,2.27,0.66,2.39,0.69,0,0,11.86,11.86,0.89,0.99,0.84,1442.96,-1.87,3313.26,2.27,12.18,13.99,868
48,2017,TTF,G? Tr??ng Thành,HOSE,1,0.02,0.61,1.19,0.6,0.12,1.08,0.22,3.4,0.67,4.03,0.8,5.03,0.36,95.94,95.94,1.26,0.76,1.26,1030.12,10.05,2544.4,1.87,13.51,17.69,50
49,2018,TTF,G? Tr??ng Thành,HOSE,1,0.07,0.49,1.01,1.31,0.13,3.01,0.18,4.94,0.73,5.98,0.86,5.47,0,-1.05,-1.05,2.9,0.72,2.98,748.98,25.52,1255.41,1.2,-1.53,-1.45,-2351.18
50,2010,VOS,V?n t?i Bi?n Vi?t Nam,HOSE,1,0.18,0.52,0.75,1.31,0.36,1.78,0.57,0.48,0.15,2.12,0.68,0,1121.43,8.55,8.55,0.65,0.38,0.65,1022,1.79,3685.23,1.35,11.83,14.15,853
51,2011,VOS,V?n t?i Bi?n Vi?t Nam,HOSE,1,0.1,0.81,1.15,1.31,0.36,2.23,0.59,0.43,0.12,2.65,0.72,0,1353.99,103.94,104.51,0.37,0.18,0.37,538.63,-6.61,3696.8,1.23,19.34,19.34,30
52,2012,VOS,V?n t?i Bi?n Vi?t Nam,HOSE,1,0.03,0.36,0.64,1.31,0.36,2.17,0.59,0.45,0.12,2.6,0.72,0,0,-4.22,-4.19,0.4,0.23,0.4,552.44,3.88,3580.71,1.47,15.99,29.72,-251
